Time,Open,High,Low,Close,Volume
2024-01-01 00:05,0,0000116016,0,0000118337,0,0000113696,0,0000116132,162436
2024-01-01 00:10,0,0000122767,0,0000125222,0,0000120311,0,0000122889,159896
2024-01-01 00:15,0,0000133132,0,0000135795,0,0000130469,0,0000133265,175438
2024-01-01 00:20,0,0000091210,0,0000093034,0,0000089385,0,0000091301,471422
2024-01-01 00:25,0,0000089891,0,0000091689,0,0000088093,0,0000089981,256154
2024-01-01 00:30,0,0000146246,0,0000149171,0,0000143321,0,0000146392,447775
2024-01-01 00:35,0,0000092654,0,0000094507,0,0000090801,0,0000092747,147446
2024-01-01 00:40,0,0000082957,0,0000084616,0,0000081298,0,0000083040,311706
2024-01-01 00:45,0,0000096674,0,0000098608,0,0000094741,0,0000096771,325704
2024-01-01 00:50,0,0000118681,0,0000121055,0,0000116308,0,0000118800,391524
2024-01-01 00:55,0,0000087544,0,0000089295,0,0000085793,0,0000087631,478667
2024-01-01 01:00,0,0000117518,0,0000119869,0,0000115168,0,0000117636,430999
2024-01-01 01:05,0,0000094872,0,0000096769,0,0000092974,0,0000094967,101498
2024-01-01 01:10,0,0000096704,0,0000098638,0,0000094770,0,0000096800,486355
2024-01-01 01:15,0,0000099115,0,0000101097,0,0000097133,0,0000099214,345279
2024-01-01 01:20,0,0000080705,0,0000082319,0,0000079091,0,0000080786,364546
2024-01-01 01:25,0,0000142007,0,0000144847,0,0000139167,0,0000142149,486240
2024-01-01 01:30,0,0000105497,0,0000107607,0,0000103387,0,0000105602,177223
2024-01-01 01:35,0,0000148803,0,0000151779,0,0000145827,0,0000148951,487816
2024-01-01 01:40,0,0000118536,0,0000120907,0,0000116165,0,0000118655,177749
2024-01-01 01:45,0,0000134071,0,0000136752,0,0000131390,0,0000134205,352338
2024-01-01 01:50,0,0000117976,0,0000120335,0,0000115616,0,0000118094,299999
2024-01-01 01:55,0,0000142696,0,0000145550,0,0000139842,0,0000142838,347185
2024-01-01 02:00,0,0000104797,0,0000106893,0,0000102701,0,0000104902,357020
